,year,team,home_total_attendance,home_avg_attendance,road_avg_attendance,overall_avg_attendance
0,2023,Bulls,841632.0,20527.0,18243.0,19385.0
1,2023,76ers,839261.0,20469.0,17910.0,19190.0
2,2023,Mavericks,827282.0,20177.0,18138.0,19158.0
3,2023,Heat,807190.0,19687.0,18369.0,19028.0
4,2023,Celtics,766240.0,19156.0,18830.0,18991.0
5,2023,NY Knicks,795110.0,19392.0,18467.0,18930.0
6,2023,Warriors,740624.0,18064.0,19772.0,18907.0
7,2023,Raptors,811261.0,19786.0,17755.0,18771.0
8,2023,Cavaliers,777280.0,19432.0,18093.0,18754.0
9,2023,Lakers,763168.0,18613.0,18777.0,18695.0
10,2023,Nuggets,788635.0,19235.0,17628.0,18431.0
11,2023,Trail Blazers,767374.0,18716.0,17786.0,18257.0
12,2023,Pistons,759715.0,18529.0,17866.0,18197.0
13,2023,Jazz,728240.0,18206.0,17881.0,18041.0
14,2023,Nets,724439.0,17669.0,18312.0,17990.0
15,2023,Bucks,718786.0,17531.0,18296.0,17913.0
16,2023,Magic,728405.0,17765.0,18013.0,17888.0
17,2023,Hawks,719787.0,17555.0,18053.0,17804.0
18,2023,Grizzlies,707836.0,17264.0,18162.0,17713.0
19,2023,Suns,682840.0,17071.0,18294.0,17690.0
20,2023,Clippers,720543.0,17574.0,17625.0,17599.0
21,2023,Hornets,702052.0,17123.0,18032.0,17578.0
22,2023,Wizards,710481.0,17328.0,17753.0,17541.0
23,2023,Kings,715491.0,17451.0,17534.0,17492.0
24,2023,Pelicans,687691.0,16772.0,18021.0,17397.0
25,2023,Spurs,694434.0,16937.0,17649.0,17293.0
26,2023,Timberwolves,687510.0,16768.0,17499.0,17133.0
27,2023,Rockets,668865.0,16313.0,17677.0,16995.0
28,2023,Pacers,641562.0,15647.0,17900.0,16774.0
29,2023,Thunder,636903.0,15534.0,17948.0,16726.0
30,2022,Bulls,856148.0,20881.0,18198.0,19556.0
31,2022,76ers,846867.0,20655.0,16589.0,18622.0
32,2022,Heat,804761.0,19628.0,17294.0,18476.0
33,2022,Mavericks,809315.0,19739.0,17092.0,18415.0
34,2022,Lakers,764631.0,18649.0,18179.0,18414.0
35,2022,Celtics,766240.0,19156.0,17583.0,18360.0
36,2022,NY Knicks,763484.0,18621.0,17722.0,18177.0
37,2022,Warriors,740624.0,18064.0,18111.0,18087.0
38,2022,Raptors,547343.0,18873.0,17233.0,17913.0
39,2022,Cavaliers,758228.0,18493.0,17134.0,17813.0
40,2022,Jazz,750546.0,18306.0,16898.0,17610.0
41,2022,Bucks,715581.0,17453.0,17656.0,17555.0
42,2022,Nets,711539.0,17354.0,17456.0,17405.0
43,2022,Hornets,700755.0,17091.0,17503.0,17294.0
44,2022,Suns,679252.0,16567.0,17403.0,16979.0
45,2022,Clippers,694005.0,16926.0,16910.0,16918.0
46,2022,Nuggets,695262.0,16957.0,16864.0,16911.0
47,2022,Trail Blazers,705608.0,17209.0,16559.0,16888.0
48,2022,Grizzlies,646785.0,15775.0,17740.0,16757.0
49,2022,Hawks,672742.0,16408.0,17073.0,16736.0
50,2022,Pistons,663556.0,16184.0,16752.0,16468.0
51,2022,Timberwolves,657148.0,16028.0,16811.0,16419.0
52,2022,Wizards,637215.0,15541.0,16939.0,16231.0
53,2022,Magic,622881.0,15192.0,17062.0,16127.0
54,2022,Rockets,638977.0,15584.0,16655.0,16120.0
55,2022,Pelicans,635941.0,15510.0,16727.0,16103.0
56,2022,Spurs,615588.0,15014.0,16939.0,15965.0
57,2022,Thunder,595112.0,14877.0,16638.0,15768.0
58,2022,Pacers,588743.0,14359.0,16794.0,15577.0
59,2022,Kings,577583.0,14439.0,16598.0,15532.0
60,2021,Jazz,151300.0,4450.0,3104.0,4077.0
61,2021,Magic,130712.0,3630.0,2954.0,3405.0
62,2021,Suns,104027.0,3715.0,2951.0,3397.0
63,2021,76ers,68583.0,3810.0,2693.0,3284.0
64,2021,Rockets,117009.0,3250.0,3282.0,3259.0
65,2021,Mavericks,94849.0,3648.0,2316.0,3140.0
66,2021,Trail Blazers,7756.0,1939.0,3420.0,3138.0
67,2021,Spurs,61053.0,3052.0,3170.0,3111.0
68,2021,Heat,0.0,0.0,3272.0,3108.0
69,2021,Nuggets,54554.0,3636.0,2481.0,3023.0
70,2021,Hornets,68255.0,3412.0,2475.0,2981.0
71,2021,Warriors,33457.0,3041.0,2873.0,2939.0
72,2021,Pacers,0.0,0.0,3030.0,2840.0
73,2021,Cavaliers,91476.0,2950.0,2616.0,2828.0
74,2021,Lakers,23313.0,2331.0,3015.0,2762.0
75,2021,Wizards,21331.0,2666.0,2678.0,2675.0
76,2021,Pelicans,93120.0,2586.0,2793.0,2662.0
77,2021,Kings,0.0,0.0,3007.0,2660.0
78,2021,Bucks,64780.0,2591.0,2644.0,2612.0
79,2021,Celtics,30067.0,2312.0,2781.0,2607.0
80,2021,Clippers,13901.0,1737.0,2932.0,2590.0
81,2021,Bulls,13655.0,3413.0,2343.0,2538.0
82,2021,Grizzlies,61449.0,2194.0,2928.0,2500.0
83,2021,Hawks,59288.0,2195.0,2786.0,2397.0
84,2021,NY Knicks,42131.0,1755.0,2803.0,2244.0
85,2021,Thunder,0.0,0.0,2463.0,2203.0
86,2021,Nets,30491.0,1524.0,3005.0,2182.0
87,2021,Raptors,26024.0,2365.0,2046.0,2152.0
88,2021,Timberwolves,15774.0,1434.0,2307.0,1937.0
89,2021,Pistons,14250.0,647.0,2946.0,1579.0
90,2020,Mavericks,682096.0,20061.0,18249.0,19169.0
91,2020,76ers,639491.0,20628.0,17706.0,19122.0
92,2020,Lakers,588907.0,18997.0,18877.0,18936.0
93,2020,Heat,629771.0,19680.0,18127.0,18891.0
94,2020,Raptors,633456.0,19795.0,17789.0,18792.0
95,2020,Celtics,610864.0,19089.0,18409.0,18749.0
96,2020,Trail Blazers,608634.0,19633.0,17941.0,18748.0
97,2020,Clippers,610176.0,19068.0,17855.0,18461.0
98,2020,Bulls,639352.0,18804.0,17767.0,18310.0
99,2020,NY Knicks,620789.0,18811.0,17767.0,18289.0
100,2020,Nuggets,633153.0,19186.0,17163.0,18190.0
101,2020,Rockets,578458.0,18076.0,18072.0,18074.0
102,2020,Thunder,600699.0,18203.0,17855.0,18034.0
103,2020,Cavaliers,623576.0,17816.0,18254.0,18014.0
104,2020,Spurs,550515.0,18350.0,17588.0,17951.0
105,2020,Bucks,549036.0,17710.0,17892.0,17805.0
106,2020,Warriors,614176.0,18064.0,17454.0,17773.0
107,2020,Jazz,567486.0,18306.0,17261.0,17767.0
108,2020,Pelicans,528172.0,16505.0,18234.0,17369.0
109,2020,Kings,520663.0,16795.0,17739.0,17282.0
110,2020,Magic,529870.0,17092.0,17243.0,17171.0
111,2020,Nets,524907.0,16403.0,17910.0,17157.0
112,2020,Wizards,532702.0,16646.0,17587.0,17117.0
113,2020,Pacers,529002.0,16531.0,17297.0,16914.0
114,2020,Hawks,545453.0,16042.0,17786.0,16901.0
115,2020,Grizzlies,523297.0,15857.0,17508.0,16670.0
116,2020,Suns,550633.0,15732.0,17660.0,16622.0
117,2020,Hornets,478591.0,15438.0,17564.0,16550.0
118,2020,Pistons,509463.0,15438.0,17641.0,16539.0
119,2020,Timberwolves,482112.0,15066.0,17463.0,16264.0
120,2019,Warriors,803436.0,19596.0,18790.0,19193.0
121,2019,76ers,838092.0,20441.0,17895.0,19168.0
122,2019,Mavericks,820569.0,20013.0,18073.0,19043.0
123,2019,Raptors,812822.0,19824.0,18239.0,19032.0
124,2019,Bulls,823475.0,20084.0,17822.0,18953.0
125,2019,Lakers,778877.0,18997.0,18862.0,18929.0
126,2019,Heat,805264.0,19640.0,18176.0,18908.0
127,2019,Trail Blazers,799345.0,19496.0,17992.0,18753.0
128,2019,Celtics,763584.0,18624.0,18671.0,18647.0
129,2019,Cavaliers,793337.0,19349.0,17632.0,18490.0
130,2019,NY Knicks,779087.0,19002.0,17566.0,18284.0
131,2019,Thunder,746323.0,18203.0,17866.0,18034.0
132,2019,Rockets,740392.0,18058.0,17921.0,17989.0
133,2019,Nuggets,756457.0,18450.0,17474.0,17962.0
134,2019,Jazz,750546.0,18306.0,17517.0,17911.0
135,2019,Bucks,721692.0,17602.0,18185.0,17893.0
136,2019,Spurs,750616.0,18307.0,17381.0,17844.0
137,2019,Magic,720024.0,17561.0,17659.0,17610.0
138,2019,Wizards,716996.0,17487.0,17509.0,17498.0
139,2019,Pacers,689310.0,16812.0,17957.0,17377.0
140,2019,Clippers,710327.0,17325.0,17233.0,17279.0
141,2019,Pistons,675963.0,16486.0,17819.0,17153.0
142,2019,Kings,700975.0,17096.0,17199.0,17148.0
143,2019,Hornets,676570.0,16501.0,17648.0,17074.0
144,2019,Pelicans,656183.0,16004.0,17667.0,16835.0
145,2019,Suns,627023.0,15293.0,17982.0,16638.0
146,2019,Grizzlies,607564.0,15578.0,17579.0,16604.0
147,2019,Hawks,628440.0,15327.0,17786.0,16557.0
148,2019,Nets,612597.0,14941.0,18085.0,16513.0
149,2019,Timberwolves,627543.0,15305.0,17641.0,16473.0
150,2018,Cavaliers,843042.0,20562.0,19071.0,19825.0
151,2018,Bulls,851824.0,20776.0,18030.0,19403.0
