,team,year,overall wins,overall losses,home wins,home losses,road wins,road losses
0,Sacramento Kings,2001,61,21,36,5,25,16
1,Los Angeles Lakers,2001,58,24,34,7,24,17
2,San Antonio Spurs,2001,58,24,32,9,26,15
3,Dallas Mavericks,2001,57,25,30,11,27,14
4,New Jersey Nets,2001,52,30,33,8,19,22
5,Detroit Pistons,2001,50,32,26,15,24,17
6,Minnesota Timberwolves,2001,50,32,29,12,21,20
7,Boston Celtics,2001,49,33,27,14,22,19
8,Portland Trail Blazers,2001,49,33,30,11,19,22
9,Seattle SuperSonics,2001,45,37,26,15,19,22
10,Charlotte Hornets,2001,44,38,21,20,23,18
11,Orlando Magic,2001,44,38,27,14,17,24
12,Utah Jazz,2001,44,38,25,16,19,22
13,Philadelphia 76ers,2001,43,39,22,19,21,20
14,Indiana Pacers,2001,42,40,25,16,17,24
15,Toronto Raptors,2001,42,40,24,17,18,23
16,Milwaukee Bucks,2001,41,41,25,16,16,25
17,Los Angeles Clippers,2001,39,43,25,16,14,27
18,Washington Wizards,2001,37,45,22,19,15,26
19,Miami Heat,2001,36,46,18,23,18,23
20,Phoenix Suns,2001,36,46,23,18,13,28
21,Atlanta Hawks,2001,33,49,23,18,10,31
22,New York Knicks,2001,30,52,19,22,11,30
23,Cleveland Cavaliers,2001,29,53,20,21,9,32
24,Houston Rockets,2001,28,54,18,23,10,31
25,Denver Nuggets,2001,27,55,20,21,7,34
26,Memphis Grizzlies,2001,23,59,15,26,8,33
27,Chicago Bulls,2001,21,61,14,27,7,34
28,Golden State Warriors,2001,21,61,14,27,7,34
29,Dallas Mavericks,2002,60,22,33,8,27,14
30,San Antonio Spurs,2002,60,22,33,8,27,14
31,Sacramento Kings,2002,59,23,35,6,24,17
32,Minnesota Timberwolves,2002,51,31,33,8,18,23
33,Detroit Pistons,2002,50,32,30,11,20,21
34,Los Angeles Lakers,2002,50,32,31,10,19,22
35,Portland Trail Blazers,2002,50,32,27,14,23,18
36,New Jersey Nets,2002,49,33,33,8,16,25
37,Indiana Pacers,2002,48,34,32,9,16,25
38,Philadelphia 76ers,2002,48,34,25,16,23,18
39,New Orleans Hornets,2002,47,35,29,12,18,23
40,Utah Jazz,2002,47,35,29,12,18,23
41,Boston Celtics,2002,44,38,25,16,19,22
