team,year,overall_wins,overall_losses,home_wins,home_losses,road_wins,road_losses,home_total_attendance,home_avg_attendance,road_avg_attendance,overall_avg_attendance,average_elo
Sacramento Kings,2001,61,21,36,5,25,16,709997.0,17317.0,18438.0,17877.0,1618.9217390243903
Los Angeles Lakers,2001,58,24,34,7,24,17,776336.0,18935.0,19628.0,19281.0,1618.2136804878048
San Antonio Spurs,2001,58,24,32,9,26,15,913175.0,22272.0,16690.0,19481.0,1657.4707256097563
Dallas Mavericks,2001,57,25,30,11,27,14,680138.0,16588.0,15761.0,16175.0,1577.1038804878049
Brooklyn Nets,2001,52,30,33,8,19,22,566077.0,13806.0,16085.0,14946.0,1391.4590658536586
Detroit Pistons,2001,50,32,26,15,24,17,607323.0,14812.0,16397.0,15604.0,1447.7255902439024
Minnesota Timberwolves,2001,50,32,29,12,21,20,717371.0,17496.0,16787.0,17142.0,1549.6740280487804
Boston Celtics,2001,49,33,27,14,22,19,629201.0,15346.0,16436.0,15891.0,1448.9778719512194
Portland Trail Blazers,2001,49,33,30,11,19,22,831385.0,20277.0,17037.0,18657.0,1632.4534329268292
Oklahoma City Thunder,2001,45,37,26,15,19,22,640847.0,15630.0,16497.0,16063.0,1515.7593243902438
New Orleans Pelicans,2001,44,38,21,20,23,18,615424.0,15010.0,16500.0,15755.0,1563.9649402439024
Orlando Magic,2001,44,38,27,14,17,24,605031.0,14756.0,16810.0,15783.0,1512.196531707317
Utah Jazz,2001,44,38,25,16,19,22,792196.0,19321.0,16989.0,18155.0,1610.0879695121953
Philadelphia 76ers,2001,43,39,22,19,21,20,805692.0,19651.0,18582.0,19116.0,1618.3245365853659
Indiana Pacers,2001,42,40,25,16,17,24,733444.0,17888.0,16508.0,17198.0,1520.23355
Toronto Raptors,2001,42,40,24,17,18,23,793256.0,19347.0,17611.0,18479.0,1522.7771451219512
Milwaukee Bucks,2001,41,41,25,16,16,25,683125.0,16661.0,16584.0,16623.0,1553.0888939024392
Los Angeles Clippers,2001,39,43,25,16,14,27,599448.0,14620.0,15823.0,15222.0,1358.1049804878048
Washington Wizards,2001,37,45,22,19,15,26,638653.0,15576.0,15872.0,15724.0,1349.9587475609756
Miami Heat,2001,36,46,18,23,18,23,677186.0,16516.0,17046.0,16781.0,1571.6694121951218
Phoenix Suns,2001,36,46,23,18,13,28,737586.0,17989.0,17157.0,17573.0,1581.0164231707317
Atlanta Hawks,2001,33,49,23,18,10,31,560324.0,13666.0,16403.0,15035.0,1355.307580487805
New York Knicks,2001,30,52,19,22,11,30,810283.0,19763.0,17680.0,18721.0,1543.1086829268293
Cleveland Cavaliers,2001,29,53,20,21,9,32,650775.0,15872.0,16064.0,15968.0,1415.925218292683
Houston Rockets,2001,28,54,18,23,10,31,518555.0,12647.0,16714.0,14680.0,1541.56015
Denver Nuggets,2001,27,55,20,21,7,34,619300.0,15104.0,16403.0,15754.0,1468.6875390243904
Memphis Grizzlies,2001,23,59,15,26,8,33,563218.0,13737.0,15822.0,14779.0,1376.9194
Chicago Bulls,2001,21,61,14,27,7,34,888654.0,21674.0,16336.0,19005.0,1262.6468743902437
Golden State Warriors,2001,21,61,14,27,7,34,591981.0,14438.0,16058.0,15248.0,1326.936695121951
Dallas Mavericks,2002,60,22,33,8,27,14,802783.0,19580.0,17049.0,18314.0,1611.9967682926826
San Antonio Spurs,2002,60,22,33,8,27,14,906390.0,22107.0,17248.0,19677.0,1653.3660243902439
Sacramento Kings,2002,59,23,35,6,24,17,709997.0,17317.0,17701.0,17509.0,1658.2344865853659
Minnesota Timberwolves,2002,51,31,33,8,18,23,731673.0,17845.0,16961.0,17403.0,1593.1114865853658
Detroit Pistons,2002,50,32,30,11,20,21,760807.0,18556.0,16417.0,17486.0,1514.7880402439025
Los Angeles Lakers,2002,50,32,31,10,19,22,778877.0,18997.0,20102.0,19549.0,1690.5573182926828
Portland Trail Blazers,2002,50,32,27,14,23,18,797821.0,19459.0,16483.0,17971.0,1563.349430487805
Brooklyn Nets,2002,49,33,33,8,16,25,564194.0,13760.0,16403.0,15082.0,1522.5428780487805
Indiana Pacers,2002,48,34,32,9,16,25,686537.0,16744.0,16677.0,16711.0,1495.1340987804879
Philadelphia 76ers,2002,48,34,25,16,23,18,842976.0,20560.0,18720.0,19640.0,1543.7280951219514
New Orleans Pelicans,2002,47,35,29,12,18,23,462738.0,11286.0,16457.0,13871.0,1525.7318097560976
Utah Jazz,2002,47,35,29,12,18,23,766108.0,18685.0,16667.0,17676.0,1554.571912195122
Boston Celtics,2002,44,38,25,16,19,22,659751.0,16091.0,17576.0,16833.0,1517.5011463414635
Phoenix Suns,2002,44,38,30,11,14,27,668939.0,16315.0,16765.0,16540.0,1521.1678548780487
Houston Rockets,2002,43,39,28,13,15,26,481227.0,11737.0,16551.0,14144.0,1456.771524390244
Milwaukee Bucks,2002,42,40,25,16,17,24,745305.0,18178.0,17043.0,17610.0,1549.5378109756098
Orlando Magic,2002,42,40,26,15,16,25,621121.0,15149.0,17345.0,16247.0,1526.234893902439
Oklahoma City Thunder,2002,40,42,25,16,15,26,633516.0,15451.0,16013.0,15732.0,1566.7233158536585
