YEAR,RK,TEAM,HOME GMS,HOME TOTAL,HOME AVG,HOME PCT,ROAD GMS,ROAD AVG,ROAD PCT,OVERALL GMS,OVERALL AVG,OVERALL PCT
2006,1,Pistons,41,"905,116","22,076",100,41,"18,637",123.9,82,"20,356",109.7
2006,2,Heat,41,"818,149","19,954",101.8,41,"18,991",129.5,82,"19,473",113.7
2006,3,Bulls,41,"868,720","21,188",97.6,41,"17,397",119.6,82,"19,292",106.4
2006,4,Cavaliers,41,"792,391","19,326",94,41,"18,800",124.5,82,"19,063",106.9
2006,5,Mavericks,41,"824,693","20,114",,41,"17,591",118,82,"18,853",252.9
2006,6,Lakers,41,"774,189","18,882",97.9,41,"18,812",130.1,82,"18,847",111.7
2006,7,Spurs,41,"770,677","18,797",101.6,41,"18,376",130.3,82,"18,586",114
2006,8,NY Knicks,41,"776,176","18,931",98.2,41,"17,572",120.2,82,"18,251",107.7
2006,9,Suns,41,"730,179","17,809",93.6,41,"17,694",126.4,82,"17,751",107.5
2006,10,Jazz,41,"751,621","18,332",92.1,41,"17,048",122.1,82,"17,690",104.5
2006,11,76ers,41,"677,278","16,518",80.8,41,"18,627",123.9,82,"17,573",99.1
2006,12,Warriors,41,"749,185","18,272",93.2,41,"16,775",112.7,82,"17,524",101.6
2006,13,Pelicans,41,"744,920","18,168",1443.6,41,"16,659",105.2,82,"17,414",203.7
2006,14,Celtics,41,"692,873","16,899",90.7,41,"17,920",117.9,82,"17,409",102.9
2006,15,Nuggets,41,"702,645","17,137",,41,"17,637",115,82,"17,387",226.6
2006,16,Nets,41,"691,543","16,866",84.4,41,"17,710",120.3,82,"17,288",99.6
2006,17,Wizards,41,"705,062","17,196",,41,"17,291",110.7,82,"17,244",220.7
2006,18,Kings,41,"709,997","17,317",100,41,"17,101",117.9,82,"17,209",108.1
2006,19,Clippers,41,"712,409","17,375",,41,"16,944",110.6,82,"17,160",223.9
2006,20,Pacers,41,"663,368","16,179",88.2,41,"17,624",119.4,82,"16,902",102.1
2006,21,Bucks,41,"681,337","16,617",88.8,41,"17,119",112.8,82,"16,868",99.5
2006,22,Raptors,41,"699,332","17,056",86.1,41,"16,595",109.9,82,"16,826",96.4
2006,23,Timberwolves,41,"662,167","16,150",85,41,"17,421",120.2,82,"16,785",100.2
2006,24,Hornets,41,"671,011","16,366",,41,"17,117",109.7,82,"16,741",214.7
2006,25,Thunder,41,"664,157","16,198",94.9,41,"17,195",118.3,82,"16,697",105.7
2006,26,Rockets,41,"636,110","15,514",83.9,41,"17,554",125.5,82,"16,534",101.8
2006,27,Grizzlies,41,"647,533","15,793",85.8,41,"17,211",123.1,82,"16,502",101.9
2006,28,Magic,41,"638,005","15,561",90.2,41,"17,084",116.2,82,"16,322",102.2
2006,29,Trail Blazers,41,"617,019","15,049",75.3,41,"17,144",118.9,82,"16,097",93.6
2006,30,Hawks,41,"617,942","15,071",,41,"17,067",109.5,82,"16,069",206.2
