YEAR,RK,TEAM,HOME GMS,HOME TOTAL,HOME AVG,HOME PCT,ROAD GMS,ROAD AVG,ROAD PCT,OVERALL GMS,OVERALL AVG,OVERALL PCT,,,,,,,,,,,,
2019,1,Warriors,41,"803,436","19,596",,41,"18,790",2140,82,"19,193",4371.8,,,,,,,,,,,,
2019,2,76ers,41,"838,092","20,441",,41,"17,895",4076.1,82,"19,168",8732.2,,,,,,,,,,,,
2019,3,Mavericks,41,"820,569","20,013",,41,"18,073",2058.4,82,"19,043",4337.8,,,,,,,,,,,,
2019,4,Raptors,41,"812,822","19,824",,41,"18,239",4154.7,82,"19,032",8670.3,,,,,,,,,,,,
2019,5,Bulls,41,"823,475","20,084",,41,"17,822",4059.5,82,"18,953",8634.4,,,,,,,,,,,,
2019,6,Lakers,41,"778,877","18,997",,41,"18,862",2148.2,82,"18,929",4311.8,,,,,,,,,,,,
2019,7,Heat,41,"805,264","19,640",,41,"18,176",4140.1,82,"18,908",8613.8,,,,,,,,,,,,
2019,8,Trail Blazers,41,"799,345","19,496",,41,"17,992",1999.2,82,"18,753",4219.6,,,,,,,,,,,,
2019,9,Celtics,41,"763,584","18,624",,41,"18,671",4253,82,"18,647",8495.1,,,,,,,,,,,,
2019,10,Cavaliers,41,"793,337","19,349",,41,"17,632",4016.2,82,"18,490",8423.7,,,,,,,,,,,,
2019,11,NY Knicks,41,"779,087","19,002",,41,"17,566",4001.3,82,"18,284",8329.5,,,,,,,,,,,,
2019,12,Thunder,41,"746,323","18,203",,41,"17,866",2034.8,82,"18,034",4107.9,,,,,,,,,,,,
2019,13,Rockets,41,"740,392","18,058",,41,"17,921",2041,82,"17,989",4097.7,,,,,,,,,,,,
2019,14,Nuggets,41,"756,457","18,450",,41,"17,474",1990.2,82,"17,962",4091.5,,,,,,,,,,,,
2019,15,Jazz,41,"750,546","18,306",,41,"17,517",1995,82,"17,911",4079.9,,,,,,,,,,,,
2019,16,Bucks,41,"721,692","17,602",,41,"18,185",4142.3,82,"17,893",8151.7,,,,,,,,,,,,
2019,17,Spurs,41,"750,616","18,307",,41,"17,381",1979.6,82,"17,844",4064.6,,,,,,,,,,,,
2019,18,Magic,41,"720,024","17,561",,41,"17,659",4022.5,82,"17,610",8022.6,,,,,,,,,,,,
2019,19,Wizards,41,"716,996","17,487",,41,"17,509",3988.3,82,"17,498",7971.6,,,,,,,,,,,,
2019,20,Pacers,41,"689,310","16,812",,41,"17,957",3990.5,82,"17,377",7820,,,,,,,,,,,,
2019,21,Clippers,41,"710,327","17,325",96.3,41,"17,233",,82,"17,279",192,,,,,,,,,,,,
2019,22,Pistons,41,"675,963","16,486",,41,"17,819",4058.8,82,"17,153",7814.1,,,,,,,,,,,,
2019,23,Kings,41,"700,975","17,096",,41,"17,199",1958.8,82,"17,148",3905.9,,,,,,,,,,,,
2019,24,Hornets,41,"676,570","16,501",,41,"17,648",4019.8,82,"17,074",7778.6,,,,,,,,,,,,
2019,25,Pelicans,41,"656,183","16,004",,41,"17,667",4024.2,82,"16,835",7669.7,,,,,,,,,,,,
2019,26,Suns,41,"627,023","15,293",,41,"17,982",2048.1,82,"16,638",3789.8,,,,,,,,,,,,
2019,27,Grizzlies,41,"607,564","15,578",,41,"17,579",2002.1,82,"16,604",3689.8,,,,,,,,,,,,
2019,28,Hawks,41,"628,440","15,327",,41,"17,786",4051.3,82,"16,557",7542.7,,,,,,,,,,,,
2019,29,Nets,41,"612,597","14,941",,41,"18,085",4119.5,82,"16,513",7522.8,,,,,,,,,,,,
2019,30,Timberwolves,41,"627,543","15,305",,41,"17,641",4018.4,82,"16,473",7504.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
